,Player_x,Team_x,Number_x,Position_x,Height_x,Weight,Last Attended,Country,links,Game Date,Matchup,W/L,MIN,PTS,Player_y,Team_y,Number_y,Position_y,Height_y
0,JalenMcDaniels,CHA,6.0,F-C,6-9,205 lbs,San Diego State,USA,https://www.nba.com/player/1629667/jalen-mcdaniels,"MAY 18, 2021",CHA @ IND,L,16,5,,,,,
1,JalenMcDaniels,CHA,6.0,F-C,6-9,205 lbs,San Diego State,USA,https://www.nba.com/player/1629667/jalen-mcdaniels,"MAY 16, 2021",CHA @ WAS,L,28,13,,,,,
2,JalenMcDaniels,CHA,6.0,F-C,6-9,205 lbs,San Diego State,USA,https://www.nba.com/player/1629667/jalen-mcdaniels,"MAY 15, 2021",CHA @ NYK,L,40,15,,,,,
3,JalenMcDaniels,CHA,6.0,F-C,6-9,205 lbs,San Diego State,USA,https://www.nba.com/player/1629667/jalen-mcdaniels,"MAY 13, 2021",CHA vs. LAC,L,32,10,,,,,
4,JalenMcDaniels,CHA,6.0,F-C,6-9,205 lbs,San Diego State,USA,https://www.nba.com/player/1629667/jalen-mcdaniels,"MAY 11, 2021",CHA vs. DEN,L,25,15,,,,,
5,DougMcDermott,SAS,20.0,F,6-7,225 lbs,Creighton,USA,https://www.nba.com/player/203926/doug-mcdermott,"MAY 20, 2021",IND @ WAS,L,24,13,,,,,
6,DougMcDermott,SAS,20.0,F,6-7,225 lbs,Creighton,USA,https://www.nba.com/player/203926/doug-mcdermott,"MAY 18, 2021",IND vs. CHA,W,26,21,,,,,
7,DougMcDermott,SAS,20.0,F,6-7,225 lbs,Creighton,USA,https://www.nba.com/player/203926/doug-mcdermott,"MAY 16, 2021",IND @ TOR,W,32,20,,,,,
8,DougMcDermott,SAS,20.0,F,6-7,225 lbs,Creighton,USA,https://www.nba.com/player/203926/doug-mcdermott,"MAY 15, 2021",IND vs. LAL,L,25,17,,,,,
9,DougMcDermott,SAS,20.0,F,6-7,225 lbs,Creighton,USA,https://www.nba.com/player/203926/doug-mcdermott,"MAY 13, 2021",IND vs. MIL,L,28,19,,,,,
10,JaValeMcGee,PHX,34.0,C-F,7-0,270 lbs,Nevada-Reno,USA,https://www.nba.com/player/201580/javale-mcgee,"JUN 13, 2021",DEN vs. PHX,L,20,5,,,,,
11,JaValeMcGee,PHX,34.0,C-F,7-0,270 lbs,Nevada-Reno,USA,https://www.nba.com/player/201580/javale-mcgee,"JUN 09, 2021",DEN @ PHX,L,7,3,,,,,
