,Player,Team,Number,Position,Height,Weight,Last Attended,Country,links,Game Date,Matchup,W/L,MIN,PTS
0,WayneEllington,LAL,2.0,G,6-4,207 lbs,North Carolina,USA,https://www.nba.com/player/201961/wayne-ellington,"MAY 08, 2021",DET @ PHI,L,24,3
1,WayneEllington,LAL,2.0,G,6-4,207 lbs,North Carolina,USA,https://www.nba.com/player/201961/wayne-ellington,"MAY 06, 2021",DET vs. MEM,W,26,18
2,WayneEllington,LAL,2.0,G,6-4,207 lbs,North Carolina,USA,https://www.nba.com/player/201961/wayne-ellington,"APR 26, 2021",DET vs. ATL,W,23,2
3,WayneEllington,LAL,2.0,G,6-4,207 lbs,North Carolina,USA,https://www.nba.com/player/201961/wayne-ellington,"APR 24, 2021",DET @ IND,L,21,9
4,WayneEllington,LAL,2.0,G,6-4,207 lbs,North Carolina,USA,https://www.nba.com/player/201961/wayne-ellington,"APR 21, 2021",DET @ DAL,L,19,11
5,JoelEmbiid,PHI,21.0,C-F,7-0,280 lbs,Kansas,Cameroon,https://www.nba.com/player/203954/joel-embiid,"JUN 20, 2021",PHI vs. ATL,L,41,31
6,JoelEmbiid,PHI,21.0,C-F,7-0,280 lbs,Kansas,Cameroon,https://www.nba.com/player/203954/joel-embiid,"JUN 18, 2021",PHI @ ATL,W,38,22
7,JoelEmbiid,PHI,21.0,C-F,7-0,280 lbs,Kansas,Cameroon,https://www.nba.com/player/203954/joel-embiid,"JUN 16, 2021",PHI vs. ATL,L,39,37
8,JoelEmbiid,PHI,21.0,C-F,7-0,280 lbs,Kansas,Cameroon,https://www.nba.com/player/203954/joel-embiid,"JUN 14, 2021",PHI @ ATL,L,36,17
9,JoelEmbiid,PHI,21.0,C-F,7-0,280 lbs,Kansas,Cameroon,https://www.nba.com/player/203954/joel-embiid,"JUN 11, 2021",PHI @ ATL,W,34,27
10,JamesEnnis III,ORL,11.0,F,6-6,215 lbs,California State-Long Beach,USA,https://www.nba.com/player/203516/james-ennis-iii,"APR 30, 2021",ORL @ MEM,L,16,3
