,Player,Team,Number,Position,Height,Weight,Last Attended,Country,links,Game Date,Matchup,W/L,MIN,PTS
0,EricBledsoe,LAC,5.0,G,6-1,214 lbs,Kentucky,USA,https://www.nba.com/player/202339/eric-bledsoe,"MAY 16, 2021",NOP vs. LAL,L,22,13
1,EricBledsoe,LAC,5.0,G,6-1,214 lbs,Kentucky,USA,https://www.nba.com/player/202339/eric-bledsoe,"MAY 14, 2021",NOP @ GSW,L,16,11
2,EricBledsoe,LAC,5.0,G,6-1,214 lbs,Kentucky,USA,https://www.nba.com/player/202339/eric-bledsoe,"MAY 12, 2021",NOP @ DAL,L,26,15
3,EricBledsoe,LAC,5.0,G,6-1,214 lbs,Kentucky,USA,https://www.nba.com/player/202339/eric-bledsoe,"MAY 10, 2021",NOP @ MEM,L,29,11
4,EricBledsoe,LAC,5.0,G,6-1,214 lbs,Kentucky,USA,https://www.nba.com/player/202339/eric-bledsoe,"MAY 09, 2021",NOP @ CHA,W,33,24
5,KeljinBlevins,POR,21.0,G,6-4,200 lbs,Montana State,USA,https://www.nba.com/player/1629833/keljin-blevins,"JUN 03, 2021",POR vs. DEN,L,1,0
6,KeljinBlevins,POR,21.0,G,6-4,200 lbs,Montana State,USA,https://www.nba.com/player/1629833/keljin-blevins,"MAY 29, 2021",POR vs. DEN,W,3,2
7,KeljinBlevins,POR,21.0,G,6-4,200 lbs,Montana State,USA,https://www.nba.com/player/1629833/keljin-blevins,"MAY 12, 2021",POR @ UTA,W,1,0
8,KeljinBlevins,POR,21.0,G,6-4,200 lbs,Montana State,USA,https://www.nba.com/player/1629833/keljin-blevins,"MAY 10, 2021",POR vs. HOU,W,2,0
9,KeljinBlevins,POR,21.0,G,6-4,200 lbs,Montana State,USA,https://www.nba.com/player/1629833/keljin-blevins,"MAY 08, 2021",POR vs. SAS,W,4,2
10,BogdanBogdanovic,ATL,13.0,G,6-6,220 lbs,Fenerbahce,Serbia,https://www.nba.com/player/203992/bogdan-bogdanovic,"JUL 03, 2021",ATL vs. MIL,L,37,20
11,BogdanBogdanovic,ATL,13.0,G,6-6,220 lbs,Fenerbahce,Serbia,https://www.nba.com/player/203992/bogdan-bogdanovic,"JUL 01, 2021",ATL @ MIL,L,39,28
12,BogdanBogdanovic,ATL,13.0,G,6-6,220 lbs,Fenerbahce,Serbia,https://www.nba.com/player/203992/bogdan-bogdanovic,"JUN 29, 2021",ATL vs. MIL,W,33,20
13,BogdanBogdanovic,ATL,13.0,G,6-6,220 lbs,Fenerbahce,Serbia,https://www.nba.com/player/203992/bogdan-bogdanovic,"JUN 27, 2021",ATL vs. MIL,L,35,8
14,BogdanBogdanovic,ATL,13.0,G,6-6,220 lbs,Fenerbahce,Serbia,https://www.nba.com/player/203992/bogdan-bogdanovic,"JUN 25, 2021",ATL @ MIL,L,18,8
15,BojanBogdanovic,UTA,44.0,F,6-7,226 lbs,Fenerbahce,Croatia,https://www.nba.com/player/202711/bojan-bogdanovic,"JUN 18, 2021",UTA @ LAC,L,35,14
16,BojanBogdanovic,UTA,44.0,F,6-7,226 lbs,Fenerbahce,Croatia,https://www.nba.com/player/202711/bojan-bogdanovic,"JUN 16, 2021",UTA vs. LAC,L,39,32
17,BojanBogdanovic,UTA,44.0,F,6-7,226 lbs,Fenerbahce,Croatia,https://www.nba.com/player/202711/bojan-bogdanovic,"JUN 14, 2021",UTA @ LAC,L,39,18
18,BojanBogdanovic,UTA,44.0,F,6-7,226 lbs,Fenerbahce,Croatia,https://www.nba.com/player/202711/bojan-bogdanovic,"JUN 12, 2021",UTA @ LAC,L,36,9
19,BojanBogdanovic,UTA,44.0,F,6-7,226 lbs,Fenerbahce,Croatia,https://www.nba.com/player/202711/bojan-bogdanovic,"JUN 10, 2021",UTA vs. LAC,W,39,16
20,BolBol,DEN,10.0,C-F,7-2,220 lbs,Oregon,Sudan,https://www.nba.com/player/1629626/bol-bol,"JUN 11, 2021",DEN vs. PHX,L,1,0
21,BolBol,DEN,10.0,C-F,7-2,220 lbs,Oregon,Sudan,https://www.nba.com/player/1629626/bol-bol,"JUN 07, 2021",DEN @ PHX,L,2,0
22,BolBol,DEN,10.0,C-F,7-2,220 lbs,Oregon,Sudan,https://www.nba.com/player/1629626/bol-bol,"MAY 24, 2021",DEN vs. POR,W,2,0
23,BolBol,DEN,10.0,C-F,7-2,220 lbs,Oregon,Sudan,https://www.nba.com/player/1629626/bol-bol,"MAY 16, 2021",DEN @ POR,L,7,3
24,BolBol,DEN,10.0,C-F,7-2,220 lbs,Oregon,Sudan,https://www.nba.com/player/1629626/bol-bol,"MAY 14, 2021",DEN @ DET,W,4,0
25,IsaacBonga,TOR,17.0,G,6-8,180 lbs,Skyliners Frankfurt,Germany,https://www.nba.com/player/1629067/isaac-bonga,"JUN 02, 2021",WAS @ PHI,L,2,0
26,IsaacBonga,TOR,17.0,G,6-8,180 lbs,Skyliners Frankfurt,Germany,https://www.nba.com/player/1629067/isaac-bonga,"MAY 31, 2021",WAS vs. PHI,W,0,0
27,IsaacBonga,TOR,17.0,G,6-8,180 lbs,Skyliners Frankfurt,Germany,https://www.nba.com/player/1629067/isaac-bonga,"MAY 29, 2021",WAS vs. PHI,L,4,0
28,IsaacBonga,TOR,17.0,G,6-8,180 lbs,Skyliners Frankfurt,Germany,https://www.nba.com/player/1629067/isaac-bonga,"MAY 26, 2021",WAS @ PHI,L,4,0
29,IsaacBonga,TOR,17.0,G,6-8,180 lbs,Skyliners Frankfurt,Germany,https://www.nba.com/player/1629067/isaac-bonga,"MAY 20, 2021",WAS vs. IND,W,5,3
30,DevinBooker,PHX,1.0,G,6-5,206 lbs,Kentucky,USA,https://www.nba.com/player/1626164/devin-booker,"JUL 20, 2021",PHX @ MIL,L,46,19
31,DevinBooker,PHX,1.0,G,6-5,206 lbs,Kentucky,USA,https://www.nba.com/player/1626164/devin-booker,"JUL 17, 2021",PHX vs. MIL,L,42,40
32,DevinBooker,PHX,1.0,G,6-5,206 lbs,Kentucky,USA,https://www.nba.com/player/1626164/devin-booker,"JUL 14, 2021",PHX @ MIL,L,39,42
33,DevinBooker,PHX,1.0,G,6-5,206 lbs,Kentucky,USA,https://www.nba.com/player/1626164/devin-booker,"JUL 11, 2021",PHX @ MIL,L,29,10
