,Player,Team,Number,Position,Height,Weight,Last Attended,Country,links,Game Date,Matchup,W/L,MIN,PTS
0,MarqueseChriss,POR,32.0,F,6-9,240 lbs,Washington,USA,https://www.nba.com/player/1627737/marquese-chriss,"DEC 25, 2020",GSW @ MIL,L,14,4
1,MarqueseChriss,POR,32.0,F,6-9,240 lbs,Washington,USA,https://www.nba.com/player/1627737/marquese-chriss,"DEC 22, 2020",GSW @ BKN,L,12,9
2,MarqueseChriss,POR,32.0,F,6-9,240 lbs,Washington,USA,https://www.nba.com/player/1627737/marquese-chriss,"DEC 17, 2020",GSW @ SAC,W,20,9
3,MarqueseChriss,POR,32.0,F,6-9,240 lbs,Washington,USA,https://www.nba.com/player/1627737/marquese-chriss,"DEC 15, 2020",GSW @ SAC,L,19,17
4,MarqueseChriss,POR,32.0,F,6-9,240 lbs,Washington,USA,https://www.nba.com/player/1627737/marquese-chriss,"DEC 12, 2020",GSW vs. DEN,W,14,3
5,JoshChristopher,HOU,,G,6-3,215 lbs,Arizona State,USA,https://www.nba.com/player/1630528/josh-christopher,No data,No data,No data,No data,No data
6,JoshChristopher,HOU,,G,6-3,215 lbs,Arizona State,USA,https://www.nba.com/player/1630528/josh-christopher,No data,No data,No data,No data,No data
7,JoshChristopher,HOU,,G,6-3,215 lbs,Arizona State,USA,https://www.nba.com/player/1630528/josh-christopher,No data,No data,No data,No data,No data
8,JoshChristopher,HOU,,G,6-3,215 lbs,Arizona State,USA,https://www.nba.com/player/1630528/josh-christopher,No data,No data,No data,No data,No data
9,JoshChristopher,HOU,,G,6-3,215 lbs,Arizona State,USA,https://www.nba.com/player/1630528/josh-christopher,No data,No data,No data,No data,No data
10,GaryClark,PHI,12.0,F,6-6,225 lbs,Cincinnati,USA,https://www.nba.com/player/1629109/gary-clark,"MAY 16, 2021",PHI vs. ORL,W,9,0
11,GaryClark,PHI,12.0,F,6-6,225 lbs,Cincinnati,USA,https://www.nba.com/player/1629109/gary-clark,"MAY 14, 2021",PHI vs. ORL,W,4,0
12,GaryClark,PHI,12.0,F,6-6,225 lbs,Cincinnati,USA,https://www.nba.com/player/1629109/gary-clark,"APR 07, 2021",DEN vs. SAS,W,1,0
13,GaryClark,PHI,12.0,F,6-6,225 lbs,Cincinnati,USA,https://www.nba.com/player/1629109/gary-clark,"APR 06, 2021",DEN vs. DET,W,3,0
14,GaryClark,PHI,12.0,F,6-6,225 lbs,Cincinnati,USA,https://www.nba.com/player/1629109/gary-clark,"MAR 23, 2021",ORL vs. DEN,L,8,3
