,Player,Team,Number,Position,Height,Weight,Last Attended,Country,links,Game Date,Matchup,W/L,MIN,PTS
0,PreciousAchiuwa,TOR,5.0,F,6-8,225 lbs,Memphis,Nigeria,https://www.nba.com/player/1630173/precious-achiuwa,"MAY 29, 2021",MIA vs. MIL,L,1,2
1,PreciousAchiuwa,TOR,5.0,F,6-8,225 lbs,Memphis,Nigeria,https://www.nba.com/player/1630173/precious-achiuwa,"MAY 27, 2021",MIA vs. MIL,L,4,2
2,PreciousAchiuwa,TOR,5.0,F,6-8,225 lbs,Memphis,Nigeria,https://www.nba.com/player/1630173/precious-achiuwa,"MAY 24, 2021",MIA @ MIL,L,7,3
3,PreciousAchiuwa,TOR,5.0,F,6-8,225 lbs,Memphis,Nigeria,https://www.nba.com/player/1630173/precious-achiuwa,"MAY 16, 2021",MIA @ DET,W,42,23
4,PreciousAchiuwa,TOR,5.0,F,6-8,225 lbs,Memphis,Nigeria,https://www.nba.com/player/1630173/precious-achiuwa,"MAY 15, 2021",MIA @ MIL,L,2,2
5,StevenAdams,MEM,12.0,C,6-11,265 lbs,Pittsburgh,New Zealand,https://www.nba.com/player/203500/steven-adams,"MAY 04, 2021",NOP vs. GSW,W,24,1
6,StevenAdams,MEM,12.0,C,6-11,265 lbs,Pittsburgh,New Zealand,https://www.nba.com/player/203500/steven-adams,"APR 28, 2021",NOP @ DEN,L,13,2
7,StevenAdams,MEM,12.0,C,6-11,265 lbs,Pittsburgh,New Zealand,https://www.nba.com/player/203500/steven-adams,"APR 24, 2021",NOP vs. SAS,L,32,4
8,StevenAdams,MEM,12.0,C,6-11,265 lbs,Pittsburgh,New Zealand,https://www.nba.com/player/203500/steven-adams,"APR 22, 2021",NOP @ ORL,W,16,12
9,StevenAdams,MEM,12.0,C,6-11,265 lbs,Pittsburgh,New Zealand,https://www.nba.com/player/203500/steven-adams,"APR 20, 2021",NOP vs. BKN,L,29,7
10,BamAdebayo,MIA,13.0,C-F,6-9,255 lbs,Kentucky,USA,https://www.nba.com/player/1628389/bam-adebayo,"MAY 29, 2021",MIA vs. MIL,L,35,20
