,Player,Team,Number,Position,Height,Weight,Last Attended,Country,links,Game Date,Matchup,W/L,MIN,PTS
0,LukeKornet,BOS,40.0,F-C,7-2,250 lbs,Vanderbilt,USA,https://www.nba.com/player/1628436/luke-kornet,"MAY 30, 2021",BOS vs. BKN,L,1,0
1,LukeKornet,BOS,40.0,F-C,7-2,250 lbs,Vanderbilt,USA,https://www.nba.com/player/1628436/luke-kornet,"MAY 25, 2021",BOS @ BKN,L,4,3
2,LukeKornet,BOS,40.0,F-C,7-2,250 lbs,Vanderbilt,USA,https://www.nba.com/player/1628436/luke-kornet,"MAY 18, 2021",BOS vs. WAS,W,4,0
3,LukeKornet,BOS,40.0,F-C,7-2,250 lbs,Vanderbilt,USA,https://www.nba.com/player/1628436/luke-kornet,"MAY 16, 2021",BOS @ NYK,L,26,4
4,LukeKornet,BOS,40.0,F-C,7-2,250 lbs,Vanderbilt,USA,https://www.nba.com/player/1628436/luke-kornet,"MAY 15, 2021",BOS @ MIN,W,31,12
5,VitKrejci,OKC,,G,6-8,195 lbs,Zaragoza,Czech Republic,https://www.nba.com/player/1630249/vit-krejci,No data,No data,No data,No data,No data
6,VitKrejci,OKC,,G,6-8,195 lbs,Zaragoza,Czech Republic,https://www.nba.com/player/1630249/vit-krejci,No data,No data,No data,No data,No data
7,VitKrejci,OKC,,G,6-8,195 lbs,Zaragoza,Czech Republic,https://www.nba.com/player/1630249/vit-krejci,No data,No data,No data,No data,No data
8,VitKrejci,OKC,,G,6-8,195 lbs,Zaragoza,Czech Republic,https://www.nba.com/player/1630249/vit-krejci,No data,No data,No data,No data,No data
9,VitKrejci,OKC,,G,6-8,195 lbs,Zaragoza,Czech Republic,https://www.nba.com/player/1630249/vit-krejci,No data,No data,No data,No data,No data
10,ArnoldasKulboka,CHA,,F,6-9,220 lbs,Bilbao,Lithuania,https://www.nba.com/player/1629083/arnoldas-kulboka,No data,No data,No data,No data,No data
11,ArnoldasKulboka,CHA,,F,6-9,220 lbs,Bilbao,Lithuania,https://www.nba.com/player/1629083/arnoldas-kulboka,No data,No data,No data,No data,No data
12,ArnoldasKulboka,CHA,,F,6-9,220 lbs,Bilbao,Lithuania,https://www.nba.com/player/1629083/arnoldas-kulboka,No data,No data,No data,No data,No data
13,ArnoldasKulboka,CHA,,F,6-9,220 lbs,Bilbao,Lithuania,https://www.nba.com/player/1629083/arnoldas-kulboka,No data,No data,No data,No data,No data
14,ArnoldasKulboka,CHA,,F,6-9,220 lbs,Bilbao,Lithuania,https://www.nba.com/player/1629083/arnoldas-kulboka,No data,No data,No data,No data,No data
15,JonathanKuminga,GSW,0.0,F,6-7,225 lbs,NBA G League Ignite,DRC,https://www.nba.com/player/1630228/jonathan-kuminga,No data,No data,No data,No data,No data
16,JonathanKuminga,GSW,0.0,F,6-7,225 lbs,NBA G League Ignite,DRC,https://www.nba.com/player/1630228/jonathan-kuminga,No data,No data,No data,No data,No data
17,JonathanKuminga,GSW,0.0,F,6-7,225 lbs,NBA G League Ignite,DRC,https://www.nba.com/player/1630228/jonathan-kuminga,No data,No data,No data,No data,No data
18,JonathanKuminga,GSW,0.0,F,6-7,225 lbs,NBA G League Ignite,DRC,https://www.nba.com/player/1630228/jonathan-kuminga,No data,No data,No data,No data,No data
19,JonathanKuminga,GSW,0.0,F,6-7,225 lbs,NBA G League Ignite,DRC,https://www.nba.com/player/1630228/jonathan-kuminga,No data,No data,No data,No data,No data
20,KyleKuzma,WAS,0.0,F,6-10,221 lbs,Utah,USA,https://www.nba.com/player/1628398/kyle-kuzma,"JUN 03, 2021",LAL vs. PHX,L,18,2
21,KyleKuzma,WAS,0.0,F,6-10,221 lbs,Utah,USA,https://www.nba.com/player/1628398/kyle-kuzma,"JUN 01, 2021",LAL @ PHX,L,23,15
22,KyleKuzma,WAS,0.0,F,6-10,221 lbs,Utah,USA,https://www.nba.com/player/1628398/kyle-kuzma,"MAY 30, 2021",LAL vs. PHX,L,25,11
23,KyleKuzma,WAS,0.0,F,6-10,221 lbs,Utah,USA,https://www.nba.com/player/1628398/kyle-kuzma,"MAY 27, 2021",LAL vs. PHX,W,24,8
24,KyleKuzma,WAS,0.0,F,6-10,221 lbs,Utah,USA,https://www.nba.com/player/1628398/kyle-kuzma,"MAY 25, 2021",LAL @ PHX,W,20,2
25,ZachLaVine,CHI,8.0,G-F,6-5,200 lbs,UCLA,USA,https://www.nba.com/player/203897/zach-lavine,"MAY 13, 2021",CHI vs. TOR,W,35,24
26,ZachLaVine,CHI,8.0,G-F,6-5,200 lbs,UCLA,USA,https://www.nba.com/player/203897/zach-lavine,"MAY 11, 2021",CHI vs. BKN,L,37,41
27,ZachLaVine,CHI,8.0,G-F,6-5,200 lbs,UCLA,USA,https://www.nba.com/player/203897/zach-lavine,"MAY 09, 2021",CHI @ DET,W,36,30
28,ZachLaVine,CHI,8.0,G-F,6-5,200 lbs,UCLA,USA,https://www.nba.com/player/203897/zach-lavine,"MAY 07, 2021",CHI vs. BOS,W,33,25
29,ZachLaVine,CHI,8.0,G-F,6-5,200 lbs,UCLA,USA,https://www.nba.com/player/203897/zach-lavine,"MAY 06, 2021",CHI @ CHA,W,27,13
30,AnthonyLamb,HOU,33.0,F,6-6,227 lbs,Vermont,USA,https://www.nba.com/player/1630237/anthony-lamb,"MAY 16, 2021",HOU @ ATL,L,42,7
31,AnthonyLamb,HOU,33.0,F,6-6,227 lbs,Vermont,USA,https://www.nba.com/player/1630237/anthony-lamb,"MAY 14, 2021",HOU vs. LAC,W,30,17
