,Player,Team,Number,Position,Height,Weight,Last Attended,Country,links,Game Date,Matchup,W/L,MIN,PTS
0,GrantWilliams,BOS,12.0,F,6-6,236 lbs,Tennessee,USA,https://www.nba.com/player/1629684/grant-williams,"JUN 01, 2021",BOS @ BKN,L,12,3
1,GrantWilliams,BOS,12.0,F,6-6,236 lbs,Tennessee,USA,https://www.nba.com/player/1629684/grant-williams,"MAY 30, 2021",BOS vs. BKN,L,21,5
2,GrantWilliams,BOS,12.0,F,6-6,236 lbs,Tennessee,USA,https://www.nba.com/player/1629684/grant-williams,"MAY 28, 2021",BOS vs. BKN,W,11,4
3,GrantWilliams,BOS,12.0,F,6-6,236 lbs,Tennessee,USA,https://www.nba.com/player/1629684/grant-williams,"MAY 25, 2021",BOS @ BKN,L,12,5
4,GrantWilliams,BOS,12.0,F,6-6,236 lbs,Tennessee,USA,https://www.nba.com/player/1629684/grant-williams,"MAY 22, 2021",BOS @ BKN,L,1,0
5,KenrichWilliams,OKC,34.0,G-F,6-6,210 lbs,TCU,USA,https://www.nba.com/player/1629026/kenrich-williams,"MAY 11, 2021",OKC @ SAC,L,33,20
6,KenrichWilliams,OKC,34.0,G-F,6-6,210 lbs,TCU,USA,https://www.nba.com/player/1629026/kenrich-williams,"MAY 08, 2021",OKC @ GSW,L,20,13
7,KenrichWilliams,OKC,34.0,G-F,6-6,210 lbs,TCU,USA,https://www.nba.com/player/1629026/kenrich-williams,"MAY 02, 2021",OKC vs. PHX,L,30,15
8,KenrichWilliams,OKC,34.0,G-F,6-6,210 lbs,TCU,USA,https://www.nba.com/player/1629026/kenrich-williams,"MAY 01, 2021",OKC vs. IND,L,19,8
9,KenrichWilliams,OKC,34.0,G-F,6-6,210 lbs,TCU,USA,https://www.nba.com/player/1629026/kenrich-williams,"APR 27, 2021",OKC @ BOS,W,24,8
10,LouWilliams,ATL,6.0,G,6-1,175 lbs,South Gwinnett HS (GA),USA,https://www.nba.com/player/101150/lou-williams,"JUL 03, 2021",ATL vs. MIL,L,12,4
11,LouWilliams,ATL,6.0,G,6-1,175 lbs,South Gwinnett HS (GA),USA,https://www.nba.com/player/101150/lou-williams,"JUL 01, 2021",ATL @ MIL,L,35,17
