,Player,Team,Number,Position,Height,Weight,Last Attended,Country,links,Game Date,Matchup,W/L,MIN,PTS
0,GrantRiller,PHI,7.0,G,6-2,190 lbs,College of Charleston,USA,https://www.nba.com/player/1630203/grant-riller,"MAY 18, 2021",CHA @ IND,L,4,3
1,GrantRiller,PHI,7.0,G,6-2,190 lbs,College of Charleston,USA,https://www.nba.com/player/1630203/grant-riller,"MAY 13, 2021",CHA vs. LAC,L,4,0
2,GrantRiller,PHI,7.0,G,6-2,190 lbs,College of Charleston,USA,https://www.nba.com/player/1630203/grant-riller,"MAY 06, 2021",CHA vs. CHI,L,2,4
3,GrantRiller,PHI,7.0,G,6-2,190 lbs,College of Charleston,USA,https://www.nba.com/player/1630203/grant-riller,"APR 25, 2021",CHA vs. BOS,W,2,5
4,GrantRiller,PHI,7.0,G,6-2,190 lbs,College of Charleston,USA,https://www.nba.com/player/1630203/grant-riller,"APR 22, 2021",CHA @ CHI,L,9,6
5,AustinRivers,DEN,25.0,G,6-4,200 lbs,Duke,USA,https://www.nba.com/player/203085/austin-rivers,"JUN 13, 2021",DEN vs. PHX,L,21,5
6,AustinRivers,DEN,25.0,G,6-4,200 lbs,Duke,USA,https://www.nba.com/player/203085/austin-rivers,"JUN 11, 2021",DEN vs. PHX,L,27,5
7,AustinRivers,DEN,25.0,G,6-4,200 lbs,Duke,USA,https://www.nba.com/player/203085/austin-rivers,"JUN 09, 2021",DEN @ PHX,L,25,6
8,AustinRivers,DEN,25.0,G,6-4,200 lbs,Duke,USA,https://www.nba.com/player/203085/austin-rivers,"JUN 07, 2021",DEN @ PHX,L,31,7
9,AustinRivers,DEN,25.0,G,6-4,200 lbs,Duke,USA,https://www.nba.com/player/203085/austin-rivers,"JUN 03, 2021",DEN @ POR,W,40,7
10,DuncanRobinson,MIA,55.0,F,6-7,215 lbs,Michigan,USA,https://www.nba.com/player/1629130/duncan-robinson,"MAY 29, 2021",MIA vs. MIL,L,16,5
11,DuncanRobinson,MIA,55.0,F,6-7,215 lbs,Michigan,USA,https://www.nba.com/player/1629130/duncan-robinson,"MAY 27, 2021",MIA vs. MIL,L,24,2
12,DuncanRobinson,MIA,55.0,F,6-7,215 lbs,Michigan,USA,https://www.nba.com/player/1629130/duncan-robinson,"MAY 24, 2021",MIA @ MIL,L,23,10
13,DuncanRobinson,MIA,55.0,F,6-7,215 lbs,Michigan,USA,https://www.nba.com/player/1629130/duncan-robinson,"MAY 22, 2021",MIA @ MIL,L,36,24
14,DuncanRobinson,MIA,55.0,F,6-7,215 lbs,Michigan,USA,https://www.nba.com/player/1629130/duncan-robinson,"MAY 16, 2021",MIA @ DET,W,19,8
