,Player,Team,Number,Position,Height,Weight,Last Attended,Country,links,Game Date,Matchup,W/L,MIN,PTS
0,ErsanIlyasova,UTA,77.0,F,6-9,235 lbs,FC Barcelona,Turkey,https://www.nba.com/player/101141/ersan-ilyasova,"JUN 12, 2021",UTA @ LAC,L,3,4
1,ErsanIlyasova,UTA,77.0,F,6-9,235 lbs,FC Barcelona,Turkey,https://www.nba.com/player/101141/ersan-ilyasova,"MAY 14, 2021",UTA @ OKC,W,5,0
2,ErsanIlyasova,UTA,77.0,F,6-9,235 lbs,FC Barcelona,Turkey,https://www.nba.com/player/101141/ersan-ilyasova,"MAY 07, 2021",UTA vs. DEN,W,6,5
3,ErsanIlyasova,UTA,77.0,F,6-9,235 lbs,FC Barcelona,Turkey,https://www.nba.com/player/101141/ersan-ilyasova,"MAY 05, 2021",UTA vs. SAS,W,7,0
4,ErsanIlyasova,UTA,77.0,F,6-9,235 lbs,FC Barcelona,Turkey,https://www.nba.com/player/101141/ersan-ilyasova,"MAY 01, 2021",UTA vs. TOR,W,9,3
5,JoeIngles,UTA,2.0,F-G,6-8,220 lbs,Maccabi Tel Aviv,Australia,https://www.nba.com/player/204060/joe-ingles,"JUN 18, 2021",UTA @ LAC,L,18,5
6,JoeIngles,UTA,2.0,F-G,6-8,220 lbs,Maccabi Tel Aviv,Australia,https://www.nba.com/player/204060/joe-ingles,"JUN 16, 2021",UTA vs. LAC,L,32,12
7,JoeIngles,UTA,2.0,F-G,6-8,220 lbs,Maccabi Tel Aviv,Australia,https://www.nba.com/player/204060/joe-ingles,"JUN 14, 2021",UTA @ LAC,L,27,19
8,JoeIngles,UTA,2.0,F-G,6-8,220 lbs,Maccabi Tel Aviv,Australia,https://www.nba.com/player/204060/joe-ingles,"JUN 12, 2021",UTA @ LAC,L,28,19
9,JoeIngles,UTA,2.0,F-G,6-8,220 lbs,Maccabi Tel Aviv,Australia,https://www.nba.com/player/204060/joe-ingles,"JUN 10, 2021",UTA vs. LAC,W,33,19
10,BrandonIngram,NOP,14.0,F,6-8,190 lbs,Duke,USA,https://www.nba.com/player/1627742/brandon-ingram,"MAY 04, 2021",NOP vs. GSW,W,25,13
11,BrandonIngram,NOP,14.0,F,6-8,190 lbs,Duke,USA,https://www.nba.com/player/1627742/brandon-ingram,"MAY 03, 2021",NOP vs. GSW,L,35,19
12,BrandonIngram,NOP,14.0,F,6-8,190 lbs,Duke,USA,https://www.nba.com/player/1627742/brandon-ingram,"MAY 01, 2021",NOP @ MIN,W,40,14
13,BrandonIngram,NOP,14.0,F,6-8,190 lbs,Duke,USA,https://www.nba.com/player/1627742/brandon-ingram,"APR 29, 2021",NOP @ OKC,W,31,24
14,BrandonIngram,NOP,14.0,F,6-8,190 lbs,Duke,USA,https://www.nba.com/player/1627742/brandon-ingram,"APR 28, 2021",NOP @ DEN,L,35,27
15,KyrieIrving,BKN,11.0,G,6-2,195 lbs,Duke,Australia,https://www.nba.com/player/202681/kyrie-irving,"JUN 13, 2021",BKN @ MIL,L,17,11
16,KyrieIrving,BKN,11.0,G,6-2,195 lbs,Duke,Australia,https://www.nba.com/player/202681/kyrie-irving,"JUN 10, 2021",BKN @ MIL,L,45,22
17,KyrieIrving,BKN,11.0,G,6-2,195 lbs,Duke,Australia,https://www.nba.com/player/202681/kyrie-irving,"JUN 07, 2021",BKN vs. MIL,W,34,22
18,KyrieIrving,BKN,11.0,G,6-2,195 lbs,Duke,Australia,https://www.nba.com/player/202681/kyrie-irving,"JUN 05, 2021",BKN vs. MIL,W,45,25
19,KyrieIrving,BKN,11.0,G,6-2,195 lbs,Duke,Australia,https://www.nba.com/player/202681/kyrie-irving,"JUN 01, 2021",BKN vs. BOS,W,38,25
20,JonathanIsaac,ORL,1.0,F,6-11,230 lbs,Florida State,USA,https://www.nba.com/player/1628371/jonathan-isaac,"AUG 02, 2020",ORL vs. SAC,W,15,4
21,JonathanIsaac,ORL,1.0,F,6-11,230 lbs,Florida State,USA,https://www.nba.com/player/1628371/jonathan-isaac,"JUL 31, 2020",ORL @ BKN,W,16,16
22,JonathanIsaac,ORL,1.0,F,6-11,230 lbs,Florida State,USA,https://www.nba.com/player/1628371/jonathan-isaac,"JUL 27, 2020",ORL @ DEN,W,7,13
23,JonathanIsaac,ORL,1.0,F,6-11,230 lbs,Florida State,USA,https://www.nba.com/player/1628371/jonathan-isaac,"JAN 01, 2020",ORL @ WAS,W,2,2
24,JonathanIsaac,ORL,1.0,F,6-11,230 lbs,Florida State,USA,https://www.nba.com/player/1628371/jonathan-isaac,"DEC 30, 2019",ORL vs. ATL,L,33,13
