,Player,Team,Number,Position,Height,Weight,Last Attended,Country,links,Game Date,Matchup,W/L,MIN,PTS
0,ChumaOkeke,ORL,3.0,F,6-6,229 lbs,Auburn,USA,https://www.nba.com/player/1629643/chuma-okeke,"APR 28, 2021",ORL @ CLE,W,27,18
1,ChumaOkeke,ORL,3.0,F,6-6,229 lbs,Auburn,USA,https://www.nba.com/player/1629643/chuma-okeke,"APR 26, 2021",ORL vs. LAL,L,31,18
2,ChumaOkeke,ORL,3.0,F,6-6,229 lbs,Auburn,USA,https://www.nba.com/player/1629643/chuma-okeke,"APR 25, 2021",ORL vs. IND,L,29,12
3,ChumaOkeke,ORL,3.0,F,6-6,229 lbs,Auburn,USA,https://www.nba.com/player/1629643/chuma-okeke,"APR 22, 2021",ORL vs. NOP,L,29,4
4,ChumaOkeke,ORL,3.0,F,6-6,229 lbs,Auburn,USA,https://www.nba.com/player/1629643/chuma-okeke,"APR 20, 2021",ORL @ ATL,L,33,6
5,JoshOkogie,MIN,20.0,G,6-4,213 lbs,Georgia Tech,Nigeria,https://www.nba.com/player/1629006/josh-okogie,"MAY 16, 2021",MIN vs. DAL,W,21,6
6,JoshOkogie,MIN,20.0,G,6-4,213 lbs,Georgia Tech,Nigeria,https://www.nba.com/player/1629006/josh-okogie,"MAY 15, 2021",MIN vs. BOS,L,13,6
7,JoshOkogie,MIN,20.0,G,6-4,213 lbs,Georgia Tech,Nigeria,https://www.nba.com/player/1629006/josh-okogie,"MAY 13, 2021",MIN vs. DEN,L,3,0
8,JoshOkogie,MIN,20.0,G,6-4,213 lbs,Georgia Tech,Nigeria,https://www.nba.com/player/1629006/josh-okogie,"MAY 11, 2021",MIN @ DET,W,14,2
9,JoshOkogie,MIN,20.0,G,6-4,213 lbs,Georgia Tech,Nigeria,https://www.nba.com/player/1629006/josh-okogie,"MAY 09, 2021",MIN @ ORL,W,26,3
10,OnyekaOkongwu,ATL,17.0,F-C,6-8,235 lbs,Southern California,USA,https://www.nba.com/player/1630168/onyeka-okongwu,"JUL 03, 2021",ATL vs. MIL,L,12,3
11,OnyekaOkongwu,ATL,17.0,F-C,6-8,235 lbs,Southern California,USA,https://www.nba.com/player/1630168/onyeka-okongwu,"JUL 01, 2021",ATL @ MIL,L,16,6
12,OnyekaOkongwu,ATL,17.0,F-C,6-8,235 lbs,Southern California,USA,https://www.nba.com/player/1630168/onyeka-okongwu,"JUN 29, 2021",ATL vs. MIL,W,15,7
13,OnyekaOkongwu,ATL,17.0,F-C,6-8,235 lbs,Southern California,USA,https://www.nba.com/player/1630168/onyeka-okongwu,"JUN 27, 2021",ATL vs. MIL,L,9,4
14,OnyekaOkongwu,ATL,17.0,F-C,6-8,235 lbs,Southern California,USA,https://www.nba.com/player/1630168/onyeka-okongwu,"JUN 25, 2021",ATL @ MIL,L,13,4
15,IsaacOkoro,CLE,35.0,F-G,6-5,225 lbs,Auburn,USA,https://www.nba.com/player/1630171/isaac-okoro,"MAY 16, 2021",CLE @ BKN,L,34,18
16,IsaacOkoro,CLE,35.0,F-G,6-5,225 lbs,Auburn,USA,https://www.nba.com/player/1630171/isaac-okoro,"MAY 14, 2021",CLE @ WAS,L,39,17
