,name,position,contacts_full_info,type_of_contact,links
307,Thomas Bareiß,CDU/CSU,"{'thomas-bareiss.de': 'http://www.thomas-bareiss.de', 'Twitter': 'https://twitter.com/Thomas_Bareiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor', 'Facebook': 'https://www.facebook.com/thomas.bareiss', 'Instagram': 'https://www.instagram.com/thomasbareiss/'}","thomas-bareiss.de , Twitter , Facebook , Instagram","http://www.thomas-bareiss.de , https://twitter.com/Thomas_Bareiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor , https://www.facebook.com/thomas.bareiss , https://www.instagram.com/thomasbareiss/"
308,Katarina Barley,SPD,{'Wahlkreis 203: Trier': '?wknr=203#scroll=mod'},Wahlkreis 203: Trier,?wknr=203#scroll=mod
309,Doris Barnett,SPD,{'doris-barnett.de': 'http://www.Doris-Barnett.de'},doris-barnett.de,http://www.Doris-Barnett.de
310,Simone Barrientos,The Left Party,"{'simone-barrientos.de': 'http://simone-barrientos.de/', 'Facebook': 'https://www.facebook.com/simonebarrientosseite/'}","simone-barrientos.de , Facebook","http://simone-barrientos.de/ , https://www.facebook.com/simonebarrientosseite/"
311,Norbert Barthle,CDU/CSU,{'barthle.de': 'http://www.barthle.de'},barthle.de,http://www.barthle.de
312,Matthias Bartke,SPD,{'Wahlkreis 019: Hamburg-Altona': '?wknr=019#scroll=mod'},Wahlkreis 019: Hamburg-Altona,?wknr=019#scroll=mod
313,Sören Bartol,SPD,{'bartol.de': 'http://www.bartol.de/'},bartol.de,http://www.bartol.de/
314,Dr. Dietmar Bartsch,The Left Party,"{'dietmar-bartsch.de': 'http://www.dietmar-bartsch.de/', 'Facebook': 'http://www.facebook.com/DietmarBartschMdB/', 'Twitter': 'http://www.twitter.com/DietmarBartsch'}","dietmar-bartsch.de , Facebook , Twitter","http://www.dietmar-bartsch.de/ , http://www.facebook.com/DietmarBartschMdB/ , http://www.twitter.com/DietmarBartsch"
315,Bärbel Bas,SPD,{'baerbelbas.de': 'http://www.baerbelbas.de/'},baerbelbas.de,http://www.baerbelbas.de/
316,Nicole Bauer,FDP,"{'fdp-nicole-bauer.de': 'http://fdp-nicole-bauer.de/', 'Facebook': 'https://www.facebook.com/bauer.nicole.fdp/', 'Twitter': 'http://www.twitter.com/nicole_ae_bauer', 'Instagram': 'http://www.instagram.com/nicole_ae_bauer'}","fdp-nicole-bauer.de , Facebook , Twitter , Instagram","http://fdp-nicole-bauer.de/ , https://www.facebook.com/bauer.nicole.fdp/ , http://www.twitter.com/nicole_ae_bauer , http://www.instagram.com/nicole_ae_bauer"
317,Bernd Baumann,AfD,"{'bernd-baumann.de': 'https://www.bernd-baumann.de/', 'Twitter': 'https://twitter.com/BerndBaumannAfD', 'Facebook': 'https://www.facebook.com/Dr.Bernd.Baumann/', 'Youtube': 'https://www.youtube.com/channel/UC0gowAwNIqEOMVSuXdJHJOw'}","bernd-baumann.de , Twitter , Facebook , Youtube","https://www.bernd-baumann.de/ , https://twitter.com/BerndBaumannAfD , https://www.facebook.com/Dr.Bernd.Baumann/ , https://www.youtube.com/channel/UC0gowAwNIqEOMVSuXdJHJOw"
318,Margarete Bause,Alliance 90/The Greens,"{'margarete-bause.de': 'http://www.margarete-bause.de', 'Facebook': 'https://www.facebook.com/margarete.bause/', 'Twitter': 'https://www.twitter.com/MargareteBause'}","margarete-bause.de , Facebook , Twitter","http://www.margarete-bause.de , https://www.facebook.com/margarete.bause/ , https://www.twitter.com/MargareteBause"
319,Dr. Danyal Bayaz,Alliance 90/The Greens,{'Wahlkreis 278: Bruchsal – Schwetzingen': '?wknr=278#scroll=mod'},Wahlkreis 278: Bruchsal – Schwetzingen,?wknr=278#scroll=mod
320,Lisa Badum,Alliance 90/The Greens,"{'lisa-badum.de': 'http://www.lisa-badum.de/', 'Facebook': 'https://www.facebook.com/BadumLisa/', 'Twitter': 'https://twitter.com/badulrichmartha', 'Instagram': 'https://www.instagram.com/badumlisa/?hl=de'}","lisa-badum.de , Facebook , Twitter , Instagram","http://www.lisa-badum.de/ , https://www.facebook.com/BadumLisa/ , https://twitter.com/badulrichmartha , https://www.instagram.com/badumlisa/?hl=de"
