,book_title,author,link,price_no_disc,price_with_disc
602,The Spirit Of Python & His Greatest Deception,Paula Cross,https://bookshop.org//books/the-spirit-of-python-his-greatest-deception/9781499610208,$6.95,$6.95
603,Hacking Discrete Math With Python 3,Isabella Romeo,https://bookshop.org//books/hacking-discrete-math-with-python-3/9781720405979,$21.99,$21.99
604,Monty Python's Flying Circus: Hidden Treasures,Adrian Besley,https://bookshop.org//books/monty-python-s-flying-circus-hidden-treasures/9781419724442,$40.00,$40.00
605,Writing Interpreters and Compilers for the Raspberry Pi Using...,Anthony J. Dos Reis,https://bookshop.org//books/writing-interpreters-and-compilers-for-the-raspberry-pi-using-python-9781977509208/9781977509208,$27.95,$27.95
606,The Statistics and Calculus with Python Workshop: A...,"Peter Farrell, Ajinkya Sudhir Kolhe,  et al.",https://bookshop.org//books/the-statistics-and-calculus-with-python-workshop-a-comprehensive-introduction-to-mathematics-in-python-for-artificial-intelligence-applications/9781800209763,$41.99,$41.99
607,"Learn Coding Basics for Kids, Young Adults and People Who Are...","Erik D. Gross, Jack C. Stanley,  et al.",https://bookshop.org//books/learn-coding-basics-for-kids-young-adults-and-people-who-are-young-at-heart-with-python-python-computer-programming-made-easy/9798677949418,$7.99,$7.99
608,Learn programming python for beginners: The Ultimate and...,Lewis Smith,https://bookshop.org//books/learn-programming-python-for-beginners-the-ultimate-and-complete-tutorial-to-easily-get-the-python-intermediate-level-with-step-by-step-practical-exe/9781802168969,$30.99,$28.51
609,Python for DATA SCIENCE: The Complete Beginners' Guide to...,Warren Overby,https://bookshop.org//books/python-for-data-science-the-complete-beginners-guide-to-learning-python-data-science-step-by-step/9781801256308,$35.99,$33.11
610,"Coding: 3 books in 1: ""Python Coding and Programming + Linux...",Michael Learn and Michael Clark,https://bookshop.org//books/coding-3-books-in-1-python-coding-and-programming-linux-for-beginners-learn-python-programming-9781801828642/9781801828642,$55.99,$51.51
611,Hands-on JavaScript for Python Developers: Leverage your...,Sonyl Nagale,https://bookshop.org//books/hands-on-javascript-for-python-developers-leverage-your-python-knowledge-to-quickly-learn-javascript-and-advance-your-web-development-career/9781838648121,$47.99,$47.99
612,Python Machine Learning: The ways of Artificial Intelligence....,Mark Wilson,https://bookshop.org//books/python-machine-learning-the-ways-of-artificial-intelligence-the-python-machine-learning-for-beginners-programming-data-science-and-data-an-9781801188968/9781801188906,$25.95,$23.87
